daily_budget,configured_status,start_time,bid_strategy,id,date_start,date_stop,spend,impressions,frequency,cpm,cpc,ctr,inline_link_clicks,objective,account_name,adset_name,reach,buying_type,clicks,account_currency,unique_inline_link_clicks,actions_0_action_type,actions_0_value,actions_1_action_type,actions_1_value,actions_2_action_type,actions_2_value,actions_3_action_type,actions_3_value,actions_4_action_type,actions_4_value,actions_5_action_type,actions_5_value,adset_id,ad_id,ad_name,campaign_id,account_id,created_time,unique_clicks,spend_cap,timezone_name,timezone_id,amount_spent,effective_status,adSetId,dma,name,object_type,adCreativeId
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6464546341977,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-12-03-beba8d58e345ca04e243ff2bccade5d3,SHARE,6464546341977
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6464546341377,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-12-03-0e0812cc57548ab013314f6676915e7b,SHARE,6464546341377
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6464546340777,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-12-03-a9cb4ee1e90a8d62dee1158fcbdcce15,SHARE,6464546340777
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450403246577,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-bc1a692b3568467d227837534f45684d,SHARE,6450403246577
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450402931377,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-ac316b632889d579faafa22829fe698a,SHARE,6450402931377
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450402733977,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-63781d6b39da52607f88e0193a8160fa,SHARE,6450402733977
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450402184377,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-7f3c7f2d01c6942aa2cd124f0763868b,PRIVACY_CHECK_FAIL,6450402184377
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450402183577,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-8af603203feb6ddc72c87a85aaa98965,PRIVACY_CHECK_FAIL,6450402183577
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450402182777,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-e7b4302e48c9f79a2e622b014976472d,PRIVACY_CHECK_FAIL,6450402182777
22000,ACTIVE,2023-11-30T09:24:36-0800,LOWEST_COST_WITHOUT_CAP,6450399435177,2023-11-25,2023-12-24,709.57,38056,1.043078,44.949559,3.033617,1.481715,36,LEAD_GENERATION,Pranjal Vatsa,Ongoing lead generation promotion Growthproai,3041,AUCTION,47,INR,35,page_engagement,36,post_engagement,36,lead,1,leadgen_grouped,1,onsite_conversion.lead_grouped,1,link_click,36,6450387876977,6450387877977,Ongoing lead generation ad,6450387874177,362903427139242,2023-11-30,43,1299349,America/Los_Angeles,1,1299349,ACTIVE,6450387876977,Unknown,Growthproai 2023-11-30-c696591263ef17ac616cb1c432181ba2,PRIVACY_CHECK_FAIL,6450399435177
